year,month,u2_min,u2_max,tmin_min,tmin_max,tmax_min,tmax_max,rs_min,rs_max,rh_min,rh_max,eto_min,eto_max,pr_min,pr_max,flow_next_month,flow_next_month_max,flow_next_month_min
2014,6,0.9107611548556428,1.0255905511811023,9.358165227210304,12.707327494125188,20.51961831517482,24.75518051698355,10.846033464566933,11.528425196850394,78.71391076115486,81.29921259842519,1.6804461942257216,1.891994750656168,7.093264564958644,44.90504383765896,31.3841935484,46.29,22.4
2014,7,0.982981965963932,1.133477266954534,8.449467747350058,11.390625107676192,18.895914162261995,23.10937833796197,10.76415417830836,11.30961391922784,78.10515621031242,80.58166116332232,1.6831978663957328,1.8854457708915413,22.247993408001943,65.4084139530625,28.4993548387,32.62,21.68
2014,8,1.0687071374142747,1.208724917449835,8.032988539807459,11.206628029577358,20.632653623777664,26.00702221058362,14.943418211836423,15.575565151130304,70.73914147828295,73.76174752349505,2.426974853949708,2.7885445770891537,21.63823358867152,41.48838770714437,30.2066666667,43.38,17.6
2014,9,1.263779527559055,1.468503937007874,10.7474898525956,14.544541764580218,22.374207790358188,28.28491063163142,16.573149606299214,17.562795275590553,69.750656167979,73.39895013123359,3.0853674540682414,3.5997375328083985,39.51765495773185,85.19078428209568,23.3222580645,37.37,16.92
2014,10,1.413512827025654,1.5821056642113285,11.51639090075873,15.278407563864905,23.29227281184748,29.65526390142718,20.33630302260605,20.955359410718824,66.77673355346711,70.87249174498348,3.833629667259334,4.447802895605791,12.888729514450487,74.29338751095393,30.626,52.39999999999999,18.88
2014,11,1.2598425196850396,1.4783464566929134,13.93384604429253,17.68689026561276,23.610695720287687,28.72527237769708,17.981692913385828,18.740196850393705,76.17547806524183,79.64941882264718,3.5656167979002618,3.8692913385826766,74.17371135593739,147.72942289498573,36.7516129032,61.91,19.66
2014,12,1.207772415544831,1.4601854203708409,14.838881959327686,18.63473478923031,25.451585338120477,30.083625638304472,20.18681737363475,21.416002032004062,74.74872092601326,79.22275844551689,4.141541783083566,4.393319786639573,71.54034546952722,177.68868068483533,33.4641935484,49.309999999999995,19.24
2015,1,1.1442722885445773,1.333502667005334,15.955249035959664,19.813694344329512,27.50160222174749,32.37042677674332,20.97225044450089,22.639395478790963,72.09441561740266,75.3746507493015,4.56750063500127,4.7647955295910585,80.51164281136509,175.7768050608408,85.0771428571,156.67,48.309999999999995
2015,2,1.1115016872890888,1.265466816647919,15.555284279915767,19.1346476638081,25.508438367870117,29.43250831629383,17.091001124859392,17.789074803149607,79.89715571267877,83.07086614173228,3.4519825646794144,3.800196850393701,149.5994445631275,254.01558187898104,74.5751612903,157.7,47.14999999999999
2015,3,1.015748031496063,1.16252857505715,14.973537498880168,18.683249374616675,23.76487654278449,27.99115849246439,15.611036322072646,16.67010414020828,82.05486410972823,84.33324866649733,3.0642621285242564,3.2277114554229103,172.6989043855098,266.25099730129176,51.5316666667,73.0,35.0
2015,4,1.0271653543307089,1.2874015748031495,13.702271594388662,17.511998860642315,22.40895819981485,26.87723420921456,14.489133858267715,14.908031496062993,80.498687664042,83.1528871391076,2.526640419947506,2.8934383202099734,46.31107516708881,97.33300925582796,43.0516129032,57.190000000000005,32.86
2015,5,0.9010668021336042,1.1468122936245873,11.006229713805292,14.728483712468387,19.910999166155563,23.78362081441104,10.406908813817628,11.29730759461519,82.2235930186146,85.50419100838202,1.7591440182880362,1.9052578105156208,37.740905484176174,79.48850978118223,43.2603333333,59.85000000000001,34.6
2015,6,0.9948818897637794,1.2303149606299213,9.35377056184576,13.059104180018515,19.53734956918037,23.5691091647084,11.195551181102363,12.755944881889766,80.01312335958005,83.32283464566929,1.7128608923884512,1.8834645669291337,33.75652333140047,85.36637470625932,33.3629032258,43.78,28.279999999999998
2015,7,0.9361188722377444,1.102997205994412,9.98194977834702,13.51534342675607,19.6578136736705,23.91648462211686,10.61466852933706,12.115316230632462,79.47313037483218,81.99136398272796,1.7921640843281683,1.9052578105156208,18.79177220984524,47.180852687154754,22.9822580645,28.66,20.07
2015,8,0.9715519431038864,1.1091884683769369,8.869796224958826,11.823672912460117,21.821260965743463,26.653423930646195,15.91254127508255,16.49274828549657,70.53594107188214,74.70154940309881,2.5334645669291334,2.8909067818135634,10.531746879482384,30.223624378185377,37.7883333333,73.57,18.81
2015,9,1.1590551181102362,1.3326771653543308,12.048351491846471,15.945666880296232,22.198461867122408,27.985544399344867,14.22994094488189,15.2798031496063,74.38320209973753,77.81214848143983,2.7194225721784777,3.2397637795275585,65.4358806115909,147.03932309945984,28.874516128999996,51.47,15.04
2015,10,1.2560325120650242,1.5754381508763018,14.332176255221372,18.05228411354067,25.055061297902988,30.09217082095775,18.195364490728984,19.349022098044195,74.10464820929641,76.93856816285061,3.5496570993141985,4.140716281432562,47.21060823389387,109.5645008697775,55.72566666670001,94.5,31.720000000000002
2015,11,1.110236220472441,1.3562992125984252,15.845830662963753,19.705547247739087,23.774193548387096,28.95171971800897,15.64708661417323,16.269448818897636,81.92163479565055,83.79002624671917,3.1297244094488184,3.5860892388451435,131.59962767418435,269.5273772828935,107.2429032258,175.75,64.01
2015,12,1.0353695707391417,1.367792735585471,15.779383663934112,19.953173777315296,25.20188486252396,29.77627471383975,17.800114300228604,19.35433070866142,78.9016292318299,82.21996443992887,3.764287528575057,3.975615951231902,172.55241554002495,259.9003134686902,120.2193548387,362.38,65.53
2016,1,1.086487172974346,1.5468630937261876,15.450275995617147,19.4104168533054,23.85623517760296,28.86056191467221,18.38792227584455,18.605816611633223,78.90525781051562,82.21361442722885,3.5638085561885404,4.015240030480061,157.76161992248294,335.9829575923512,106.6079310345,186.95,50.17
2016,2,1.0229432527830573,1.2747759978278577,16.00641625352673,19.855137054416605,26.363914282978143,30.41698281386972,18.571219114852024,20.1776812381211,77.67154105736782,81.09557426011403,3.8394651099647024,4.057426011403747,178.30324716940822,254.93179113132112,116.17451612900001,209.8,82.96000000000001
2016,3,0.9779019558039116,1.2915925831851662,15.139065956405789,18.848364355562293,24.618016552845752,29.12684083219053,16.450038100076203,17.080556261112523,80.3022606045212,83.7757175514351,3.16002032004064,3.552959105918211,184.23604541154208,245.3812415801612,49.3946666667,84.0,35.66
2016,4,0.9350393700787402,1.1476377952755905,14.017080192470065,16.957986185288043,25.366018656982128,29.54560991241188,17.32323818897638,18.45818897637795,72.41469816272965,76.74278215223096,3.116076115485564,3.557086614173228,2.114932706686602,39.31754073131064,45.7480645161,64.56,36.31
2016,5,0.99250698501397,1.213487426974854,10.682546464430676,13.690244020094962,20.004031396654973,24.31783255576765,11.430505461010922,11.94230378460757,80.72136144272288,83.30708661417323,1.8590297180594355,2.114935229870459,45.14145329142124,88.30236431252696,87.92433333329998,307.94,43.21
2016,6,0.8897637795275591,1.0905511811023625,7.9920244961902736,10.858719646799118,17.223741365805026,22.477604500462864,11.063149606299216,12.33704724409449,80.20997375328083,82.96062992125984,1.521784776902887,1.8322834645669288,107.52739036225466,176.67241431928463,37.4029032258,43.269999999999996,28.92
2016,7,0.9461518923037846,1.1849123698247397,8.093769597067073,10.820027427279806,19.75911543576986,25.16518389370896,13.032499364998731,14.577305054610113,70.24384048768098,74.43303458035487,1.9845059690119375,2.4533909067818134,0.0686666463209917,1.917516098513729,35.42,52.34,28.46
2016,8,1.09004318008636,1.265466816647919,8.958418038604929,11.987133987085748,20.714659812143807,25.95216765097064,14.627978155956312,15.31713233426467,72.46815922203272,75.53213106426213,2.422021844043688,2.7967995935991867,19.203772087771178,76.29551072725607,28.3636666667,32.49,25.59
2016,9,1.2385826771653543,1.470472440944882,11.248664815210423,14.468062379833368,22.19490137435021,27.38795129245888,16.09216535433071,17.615157480314963,72.88151481064867,75.23622047244093,2.9830052493438317,3.546850393700787,22.735526596881016,61.03680096264095,43.2012903226,65.71,28.6
2016,10,1.3529337058674118,1.579248158496317,13.341890001447169,16.924871305414477,23.35980731991372,28.17419079187656,17.204343408686817,18.81864363728728,76.01146630864692,78.53187706375412,3.3928117856235707,3.914528829057658,71.18442335276347,181.2730796227912,66.6776666667,157.4,30.23
2016,11,1.23503937007874,1.5255905511811023,13.142277291177098,16.90586057110304,22.809727266253645,27.71779534287545,18.445098425196853,19.00275590551181,77.76902887139107,80.49343832020998,3.4845800524934374,3.976771653543307,121.16916409802542,215.57305041221784,61.8616129032,77.42,44.76
2016,12,1.3385826771653544,1.5582931165862333,14.486599913169918,18.17081406647325,25.484801290046928,30.488005733541907,21.311760223520448,21.893234061468124,73.62204724409449,77.46761493522988,4.229870459740919,4.685547371094741,97.37445448164308,208.31792875235968,124.404516129,201.51000000000002,56.730000000000004
2017,1,1.0896621793243586,1.2211074422148844,16.01673891021356,19.608609960650814,25.516638986706724,29.08935228893744,16.168440436880875,19.234886969773942,80.63246126492253,82.70891541783084,3.557912115824231,3.852498276425124,184.27838984344,422.3067415387432,66.0521428571,130.76,37.36
2017,2,1.151996625421822,1.2781214848143982,15.270699179052096,18.96191290017396,26.040070802941983,30.01754814294869,19.62362204724409,21.895767716535435,74.4215008838181,78.07528523220311,4.058844206974127,4.284067170175156,57.81502731406598,132.25882747886587,107.5209677419,233.82999999999998,53.64999999999999
2017,3,1.1308102616205231,1.2068199136398272,14.385573802123892,17.892957804715014,24.14555064743541,28.02258271254419,16.790452755905513,17.978917957835915,79.11571537428789,81.15316230632462,3.2252349504699005,3.401066802133604,205.0701925717948,285.18631550035093,56.877,66.15,50.99
2017,4,1.0492125984251968,1.2238470191226096,13.1825820693584,16.431033255002493,21.696574805953144,25.67635120700705,13.105462598425198,13.840590551181103,80.67116610423696,83.33333333333333,2.390157480314961,2.5351706036745405,36.95638904995874,123.7990966521195,58.3574193548,97.04999999999998,41.519999999999996
2017,5,0.9029718059436118,1.0616314089771035,10.916091819365864,14.29681416295112,20.136757378834133,23.883957797823737,10.762887350774704,11.6245110490221,82.20091440182881,84.73456946913893,1.8012446024892044,1.9247396494792988,49.33927426984464,100.77517014069024,47.82299999999999,65.66,38.21
2017,6,0.9609111361079864,1.03177727784027,8.937274290190334,11.801253293455812,19.9282916755679,23.736594744712665,10.431062992125984,11.645118110236222,79.9737532808399,81.65354330708662,1.642060367454068,1.7730596175478062,25.862147892696896,58.54689931943723,36.1683870968,38.51,30.4
2017,7,0.9505969011938024,1.1220472440944884,6.421109160770524,9.446596054055172,19.269283513999625,22.981200598162783,13.25220345440691,13.823289306578612,75.62502267861679,78.53695707391414,1.9234188468376927,2.0647447294894588,0.7827997680593342,14.718695638904988,38.4006451613,58.68,30.85
